GENESIS-Tabelle: 23131-0001
Krankenhauspatienten: Deutschland, Jahre,;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene Patienten (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ICD10-C80;    BN ohne Angabe der Lokalisation;2288;2152;2366;2348;2406;2497;2572;2717;2836;2907
ICD10-C81-C96;  BN des lymphat., blutbild. und verwandten Gewebes;7868;8075;8250;7872;8141;8218;8013;8397;8614;8774
ICD10-C81;    Lymphom (Lymphogranulomatose);137;152;125;158;142;151;142;160;135;156
ICD10-C82;    Follikuläres Lymphom;217;202;176;133;169;162;147;167;187;183
ICD10-C83;    Nicht follikuläres Lymphom;1189;1271;1411;1460;1512;1523;1535;1670;1815;1842
ICD10-C84;    Reifzellige T/NK-Zell-Lymphome;287;284;266;248;235;252;229;233;236;261
ICD10-C85;    Sonst. u.n.n. bez. Typen des Non-Hodgkin-Lymphoms;850;906;753;709;702;653;633;587;565;536
ICD10-C86;    Weitere spezifizierte T/NK-Zell-Lymphome;-;-;62;87;102;101;92;104;107;104
ICD10-C88;    Bösartige immunproliferative Krankheiten;62;55;68;72;66;74;71;89;94;73
ICD10-C90;    Plasmozytom u. bösartige Plasmazellen-Neubildungen;1503;1593;1567;1460;1530;1543;1586;1631;1653;1620
ICD10-C91;    Lymphatische Leukämie;971;935;982;890;926;909;771;790;818;842
ICD10-C92;    Myeloische Leukämie;2374;2407;2373;2256;2316;2350;2359;2460;2533;2679
ICD10-C93;    Monozytenleukämie;83;83;197;205;230;280;261;279;267;244
ICD10-C94;    Sonstige Leukämien näher bezeichneten Zelltyps;41;54;108;89;95;102;76;100;109;89
ICD10-C95;    Leukämie nicht näher bezeichneten Zelltyps;126;113;111;90;90;104;79;106;72;102
ICD10-C96;    Sonst.BN d.lymphat., blutbild. u. verwandt.Gewebes;28;20;51;15;26;14;32;21;23;43
ICD10-C97-C97;  BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-
ICD10-C97;    BN als Primärtumoren an mehreren Lokalisationen;-;-;-;-;-;-;-;-;-;-
ICD10-D00-D48;Übrige Neubildungen;2428;2468;2439;2424;2431;2542;2541;2601;2613;2832
ICD10-D00-D09;  In-situ-Neubildungen;61;42;27;27;54;34;38;38;38;40
ICD10-D00;    Carcinoma in situ d.Mundhöhle,d.Ösophagus,d.Magens;6;7;4;5;6;6;5;6;-;1
ICD10-D01;    Carcinoma in situ sonst. u.n.n.bez. Verdauungsorg.;15;16;4;8;22;18;15;16;15;21
ICD10-D02;    Carcinoma in situ d. Mittelohres u. d.Atmungssyss.;5;4;2;4;6;1;3;5;1;3
ICD10-D03;    Melanoma in situ;2;1;3;-;1;1;-;1;-;-
ICD10-D04;    Carcinoma in situ der Haut;1;3;2;3;3;-;2;-;3;2
ICD10-D05;    Carcinoma in situ der Brustdrüse (Mamma);15;7;3;2;7;1;7;2;10;3
ICD10-D06;    Carcinoma in situ der Cervix uteri;1;1;2;-;2;-;1;-;3;1
ICD10-D07;    Carcinoma in situ sonst. u.n.n.bez. Genitalorgane;11;2;3;2;5;4;1;-;2;4
ICD10-D09;    Carcinoma in situ sonst. u.n.n.bez. Lokalisationen;5;1;4;3;2;3;4;8;4;5
ICD10-D10-D36;  Gutartige Neubildungen;428;405;414;424;376;456;406;409;397;454
ICD10-D10;    Gutartige Neubildung des Mundes und des Pharynx;2;1;4;1;-;4;3;-;-;3
ICD10-D11;    Gutartige Neubildung der großen Speicheldrüsen;8;-;2;3;3;5;4;1;4;8
ICD10-D12;    Gutart.NB d.Kolons, d.Rekt.,d.Analkanals.u.d.Anus;77;90;97;72;54;99;83;84;72;84
ICD10-D13;    Gutart.NB sonst.ungen.bez. Teile d.Verdauungssyst.;53;44;44;63;52;60;54;58;37;62
ICD10-D14;    Gutart.NB des Mittelohres und des Atmungssystems;4;9;8;8;8;5;9;8;6;5
ICD10-D15;    Gutart.NB sonst. u.n.n.bez. intrathorakaler Organe;14;9;7;6;12;12;9;7;10;9
ICD10-D16;    Gutartige NB des Knochens und des Gelenkknorpels;3;-;1;1;5;3;1;1;-;1
ICD10-D17;    Gutartige Neubildung des Fettgewebes;2;6;8;3;3;5;5;3;4;22
ICD10-D18;    Hämangiom und Lymphangiom;18;18;18;15;19;20;11;15;14;15
ICD10-D19;    Gutartige Neubildung des mesothelialen Gewebes;1;4;3;2;3;1;3;2;1;2
ICD10-D20;    Gutart.NB Weichteilgew.,Retroperitoneum,Peritoneum;1;-;-;2;1;-;1;1;-;-
ICD10-D21;    Sonst. gutart. NB d.Bindegew. u.a. Weichteilgewebe;3;4;5;7;3;7;4;3;1;1
ICD10-D22;    Melanozytennävus;-;-;-;-;-;-;-;-;1;-
ICD10-D23;    Sonstige gutartige Neubildungen der Haut;3;-;1;3;2;1;-;-;-;1
ICD10-D24;    Gutartige Neubildung der Brustdrüse (Mamma);2;-;-;2;2;-;2;1;-;-
ICD10-D25;    Leiomyom des Uterus;12;15;11;6;7;7;9;10;7;8
ICD10-D26;    Sonstige gutartige Neubildungen des Uterus;1;-;-;-;1;1;-;1;1;-
ICD10-D27;    Gutartige Neubildung des Ovars;23;16;21;18;17;21;18;16;16;16
ICD10-D28;    Gutart. NB sonst. u.n.n.bez. weibl. Genitalorgane;-;-;1;1;-;1;-;1;1;-
ICD10-D29;    Gutartige Neubildung der männlichen Genitalorgane;-;9;2;3;2;2;4;2;3;4
ICD10-D30;    Gutartige Neubildung der Harnorgane;4;8;8;3;8;6;11;12;17;10
ICD10-D31;    Gutart. NB des Auges und der Augenanhangsgebilde;-;-;1;-;-;-;-;-;-;-
ICD10-D32;    Gutartige Neubildung der Meningen;139;123;118;153;113;128;130;129;141;146
ICD10-D33;    Gutart. NB d.Gehirns u.a.Teile d.Zentralnervensys.;20;23;20;14;21;21;13;16;23;23
ICD10-D34;    Gutartige Neubildung der Schilddrüse;2;1;3;1;-;-;1;-;-;-
ICD10-D35;    Gutart. NB sonstiger u.n.n.bez. endokriner Drüsen;32;19;28;31;32;40;23;30;32;29
ICD10-D36;    Gutart. NB sonstiger u.n.n.bez. Lokalisationen;4;6;3;6;8;7;8;8;6;5
ICD10-D37-D48;  Neubildungen unsicheren o. unbekannten Verhaltens;1939;2021;1998;1973;2001;2052;2097;2154;2178;2338
ICD10-D37;    NB unsich. Verh.d. Mundhöhle u.d. Verdauungsorgane;403;376;365;322;405;430;471;462;463;521
ICD10-D38;    NB unbek.Verh.: Mittelohr,Atmg.,intrathorakal.Org.;272;314;304;317;316;364;324;338;351;380
ICD10-D39;    NB unsich. Verhaltens der weibliche Genitalorgane;58;57;37;40;31;51;44;44;35;51
ICD10-D40;    NB unsich. Verhaltens der männlichen Genitalorgane;6;7;13;5;7;8;5;6;9;5
ICD10-D41;    NB unsich. Verhaltens der Harnorgane;52;82;75;73;66;75;78;54;69;80
ICD10-D42;    NB unsich. Verhaltens der Meningen;6;3;7;2;4;1;3;7;10;4
ICD10-D43;    NB unsich. Verh.d Gehirns u.d.Zentralnervensystems;132;111;107;129;127;134;133;144;158;143
ICD10-D44;    NB unsich. Verhaltens der endokrinen Drüsen;31;40;38;35;24;23;16;17;19;20
ICD10-D45;    Polycythaemia vera;30;18;25;27;36;28;17;26;23;29
ICD10-D46;    Myelodysplastische Syndrome;659;706;673;704;664;613;678;704;663;709
ICD10-D47;    Sonst.NB unbek.Verh.: lymph.,blutb.,verwandt.Gew.;161;160;218;192;219;206;216;226;231;248
ICD10-D48;    NB unsicheren oder unbekannten Verhaltens;129;147;136;127;102;119;112;126;147;148
ICD10-D50-D90;Krankheiten des Blutes;2426;2415;2357;2465;2412;2426;2404;2303;2255;2212
ICD10-D50-D53;  Alimentäre Anämien;442;416;385;390;420;435;421;483;493;512
ICD10-D50;    Eisenmangelanämie;373;342;321;321;346;374;361;409;413;425
ICD10-D51;    Vitamin-B12-Mangelanämie;23;30;29;26;23;23;30;27;26;29
ICD10-D52;    Folsäure-Mangelanämie;9;10;9;22;24;17;17;22;31;44
ICD10-D53;    Sonstige alimentäre Anämien;37;34;26;21;27;21;13;25;23;14
ICD10-D55-D59;  Hämolytische Anämien;127;120;159;108;128;117;145;133;112;143
ICD10-D55;    Anämie durch Enzymdefekte;1;-;-;-;-;-;1;-;-;1
ICD10-D56;    Thalassämie;2;2;-;2;5;-;2;1;1;4
ICD10-D57;    Sichelzellenkrankheiten;5;5;5;2;3;4;2;6;7;5
ICD10-D58;    Sonstige hereditäre hämolytische Anämien;3;1;6;1;1;6;5;3;4;13
ICD10-D59;    Erworbene hämolytische Anämien;116;112;148;103;119;107;135;123;100;120
ICD10-D60-D64;  Aplastische und sonstige Anämien;1069;1072;1003;1109;1108;1034;1080;1021;1021;984
ICD10-D60;    Erworbene isolierte aplastische Anämie;6;2;7;6;10;3;5;3;2;7
ICD10-D61;    Sonstige aplastische Anämien;303;314;280;281;311;287;291;313;303;296
ICD10-D62;    Akute Blutungsanämie;374;348;287;338;342;291;285;251;274;256
ICD10-D63;    Anämie bei chronischen, ao. klass. Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-D64;    Sonstige Anämien;386;408;429;484;445;453;499;454;442;425
ICD10-D65-D69;  Koagulopathien,Purpura u.sonst.hämorrhag.Diathesen;429;455;452;481;461;504;428;352;305;268
ICD10-D65;    Disseminierte intravasale Gerinnung;17;22;22;19;13;15;5;11;11;10
ICD10-D66;    Hereditärer Faktor-VIII-Mangel;3;3;3;5;-;5;-;2;2;-
ICD10-D67;    Hereditärer Faktor-IX-Mangel;-;-;-;-;-;-;-;-;-;-
ICD10-D68;    Sonstige Koagulopathien;252;258;277;314;287;329;270;191;160;137
ICD10-D69;    Purpura und sonstige hämorrhagische Diathesen;157;172;150;143;161;155;153;148;132;121
ICD10-D70-D77;  Sonstige Kh. des Blutes und der blutbilden Organe;302;287;288;309;238;284;270;250;254;231
ICD10-D70;    Agranulozytose;186;165;218;220;177;199;175;167;148;124
ICD10-D71;    Funktionelle Störungen der neutrophilen Granulozyt;1;-;3;1;-;3;3;2;-;3
ICD10-D72;    Sonstige Krankheiten der Leukozyten;7;7;11;7;11;6;5;11;8;7
ICD10-D73;    Krankheiten der Milz;49;40;37;54;32;47;54;36;49;50
ICD10-D74;    Methämoglobinämie;-;-;-;-;-;-;-;-;-;-
ICD10-D75;    Sonstige Kh. des Blutes und der blutbilden Organe;46;64;8;7;5;6;4;4;5;9
ICD10-D76;    Kh. mit Beteil. des lymphoretikulären Gewebes u.Ä.;13;11;11;20;13;23;29;30;44;38
ICD10-D77;    Sonst.Kh.d.Blutes u.d.blutbild.Org.b.ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-D80-D90;  Best. Störungen mit Beteiligung des Immunsystems;57;65;70;68;57;52;60;64;70;74
ICD10-D80;    Immundefekt mit vorherrschendem Antikörpermangel;4;1;4;3;1;-;-;2;1;-
ICD10-D81;    Kombinierte Immundefekte;3;5;5;4;9;4;3;5;4;5
ICD10-D82;    Immundefekt i. Verbind. m. and. Schweren Defekten;-;3;3;1;2;-;1;4;2;1
ICD10-D83;    Variabler Immundefekt common variable immunodeficy;2;-;-;1;2;1;1;2;1;1
ICD10-D84;    Sonstige Immundefekte;1;3;3;2;-;-;4;1;1;1
ICD10-D86;    Sarkoidose;25;40;40;35;34;41;39;38;53;54
ICD10-D89;    Sonst.Störungen m.Beteil.d.Immunsystems, ao.n.kl.;9;5;9;12;2;4;9;5;5;7
ICD10-D90;    Immunkompromittierung nach Bestrahl.,Chemotherap.;13;8;6;10;7;2;3;7;3;5
ICD10-E00-E90;Endokrine, Ernährungs- und Stoffwechselkrankheiten;9779;10057;9746;9896;10474;10245;11267;10765;11217;12035
ICD10-E00-E07;  Krankheiten der Schilddrüse;148;157;162;169;155;136;149;128;116;139
ICD10-E00;    Angeborenes Jodmangelsyndrom;-;-;-;-;-;-;-;-;-;-
ICD10-E01;    Jodmangelbed. Schilddrüsenkh. u.verwandte Zustände;4;1;2;1;1;1;2;1;-;1
ICD10-E02;    Subklinische Jodmangel-Hypothyreose;-;-;-;-;-;-;-;-;-;-
ICD10-E03;    Sonstige Hypothyreose;33;36;45;35;42;40;38;46;27;38
ICD10-E04;    Sonstige nichttoxische Struma;28;34;35;28;29;24;28;22;26;28
ICD10-E05;    Hyperthyreose (Thyreotoxikose);80;81;77;103;79;67;78;57;62;66
ICD10-E06;    Thyreoiditis;3;5;3;1;2;4;2;2;1;6
ICD10-E07;    Sonstige Krankheiten der Schilddrüse;-;-;-;1;2;-;1;-;-;-
ICD10-E10-E14;  Diabetes mellitus;4773;4502;4386;4150;4210;3810;3993;3653;3744;3669
ICD10-E10;    Primär insulinabhängiger Diabetes mellitus (Typ-I);110;80;107;97;102;123;124;136;156;191
ICD10-E11;    Nicht primär insulinabh.Diabetes mellitus (Typ-II);4551;4345;4193;3971;4024;3610;3790;3446;3515;3375
ICD10-E12;    Diabetes mellitus i.Verb.m. Fehl-o.Mangelernährung;1;1;3;1;1;1;-;1;2;2
ICD10-E13;    Sonstiger näher bezeichneter Diabetes mellitus;67;45;53;59;68;57;55;62;59;80
ICD10-E14;    Nicht näher bezeichneter Diabetes mellitus;44;31;30;22;15;19;24;8;12;21
ICD10-E15-E16;  Blutglukoseregulationsstörung;125;140;128;116;118;145;126;126;135;139
ICD10-E15;    Hypoglykämisches Koma, nichtdiabetisch;53;52;36;36;24;39;33;40;30;30
ICD10-E16;    Sonst. Störungen d. inneren Sekretion des Pankreas;72;88;92;80;94;106;93;86;105;109
ICD10-E20-E35;  Krankheiten sonstiger endokriner Drüsen;89;71;68;71;75;53;94;93;94;97
ICD10-E20;    Hypoparathyreoidismus;4;3;2;-;1;-;-;1;-;-
ICD10-E21;    Hyperparathyreoidismus u.sonst.Kh.d.Nebenschilddr.;14;15;14;14;15;8;21;15;18;17
ICD10-E22;    Überfunktion der Hypophyse;13;13;17;19;20;16;31;32;26;33
ICD10-E23;    Unterfunktion und andere Störungen der Hypophyse;4;4;8;8;7;6;9;6;2;4
ICD10-E24;    Cushing-Syndrom;6;6;4;4;7;4;4;10;3;8
ICD10-E25;    Adrenogenitale Störungen;-;-;-;1;-;-;-;-;-;-
ICD10-E26;    Hyperaldosteronismus;-;2;-;2;-;1;-;1;-;2
ICD10-E27;    Sonstige Krankheiten der Nebenniere;41;25;20;17;23;15;28;24;42;29
ICD10-E28;    Ovarielle Dysfunktion;-;-;-;-;-;-;-;-;-;-
ICD10-E29;    Testikuläre Dysfunktion;-;-;-;-;-;-;-;-;-;-
ICD10-E30;    Pubertätsstörungen, ao. nicht klassifiziert;-;-;-;-;-;-;-;-;-;-
ICD10-E31;    Polyglanduläre Dysfunktion;-;-;-;1;-;1;-;1;1;1
ICD10-E32;    Krankheiten des Thymus;-;-;-;1;-;-;-;-;-;-
ICD10-E34;    Sonstige endokrine Störungen;7;3;3;4;2;2;1;3;2;3
ICD10-E35;    Störungen der endokrinen Drüsen bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-E40-E46;  Mangelernährung;140;167;142;144;143;150;139;126;121;87
ICD10-E40;    Kwashiorkor;-;-;-;-;1;1;1;-;-;-
ICD10-E41;    Alimentärer Marasmus;89;92;79;79;57;52;45;42;42;39
ICD10-E42;    Kwashiorkor-Marasmus;1;2;4;-;3;2;-;5;3;-
ICD10-E43;    N.n.bez. erhebl. Energie- u. Eiweißmangelernährung;27;28;30;29;40;52;43;42;35;24
ICD10-E44;    Energie-u.Eiweißmangelernähr.mäßigen u.leicht.Grd.;7;12;12;10;16;17;22;16;9;9
ICD10-E45;    Entwicklungsverzög.d.Energie-u.Eiweißmangelernähr.;-;1;-;-;-;-;-;-;-;-
ICD10-E46;    N.n.bez. Energie- und Eiweißmangelernährung;16;32;17;26;26;26;28;21;32;15
ICD10-E50-E64;  Sonstige alimentäre Mangelzustände;22;16;29;29;31;32;36;28;27;35
ICD10-E50;    Vitamin-A-Mangel;-;-;-;-;-;-;-;-;-;-
ICD10-E51;    Thiaminmangel (Vitamin-B1-Mangel);14;15;24;20;22;24;28;21;23;26
ICD10-E52;    Niazinmangel (Pellagra);-;-;-;-;-;-;-;-;-;-
ICD10-E53;    Mangel an sonst. Vitaminen d. Vitamin-B-Komplexes;4;-;2;4;3;3;6;6;3;5
ICD10-E54;    Askorbinsäuremangel;-;-;-;-;-;-;-;-;-;-
ICD10-E55;    Vitamin-D-Mangel;-;-;-;-;1;-;-;-;1;1
ICD10-E56;    Sonstige Vitaminmangelzustände;-;-;-;-;-;-;-;-;-;-
ICD10-E58;    Alimentärer Kalziummangel;-;-;-;1;2;1;-;-;-;1
ICD10-E59;    Alimentärer Selenmangel;-;-;-;-;-;-;-;-;-;-
ICD10-E60;    Alimentärer Zinkmangel;-;-;-;-;-;-;-;-;-;-
ICD10-E61;    Mangel an sonstigen Spurenelementen;-;-;2;1;-;1;-;-;-;-
ICD10-E63;    Sonstige alimentäre Mangelzustände;4;1;1;3;3;3;2;1;-;2
ICD10-E64;    Folgen v. Mangelernährung o.sonst.alim.Mangelzust.;-;-;-;-;-;-;-;-;-;-
ICD10-E65-E68;  Adipositas und sonstige Überernährung;52;54;54;50;55;50;59;63;72;114
ICD10-E65;    Lokalisierte Adipositas;2;3;1;2;1;1;3;1;2;3
ICD10-E66;    Adipositas;50;51;53;48;54;49;56;62;69;111
ICD10-E67;    Sonstige Überernährung;-;-;-;-;-;-;-;-;1;-
ICD10-E68;    Folgen der Überernährung;-;-;-;-;-;-;-;-;-;-
ICD10-E70-E90;  Stoffwechselstörungen;4430;4950;4777;5167;5687;5869;6671;6548;6908;7755
ICD10-E70;    Störungen d.Stoffwechsels aromatischer Aminosäuren;1;-;-;-;-;1;2;-;1;-
ICD10-E71;    Störungen d. Stoffwechsels verzweigter Aminosäuren;3;8;2;7;2;4;3;3;6;4
ICD10-E72;    Sonstige Störungen des Aminosäurestoffwechsels;7;8;2;6;10;9;4;6;7;3
ICD10-E73;    Laktoseintoleranz;-;-;-;2;2;-;-;-;-;-
ICD10-E74;    Sonstige Störungen des Kohlenhydratstoffwechsels;4;3;3;2;2;8;2;4;3;2
ICD10-E75;    Stör.d.Sphingolipidstoffwechsels u.d.Lipidspeich.;10;5;9;9;10;2;10;10;5;5
ICD10-E76;    Störungen des Glykosaminoglykan-Stoffwechsels;2;2;-;-;1;-;-;1;1;1
ICD10-E77;    Störungen des Glykoproteinstoffwechsels;2;2;1;-;-;3;-;1;-;2
ICD10-E78;    Stör.d.Lipoproteinstoffwechs.u.sonst.Lipididämien;2;-;1;1;1;1;-;-;2;2
ICD10-E79;    Störungen des Purin- und Pyrimidinstoffwechsels;1;-;-;-;2;2;1;2;1;-
ICD10-E80;    Störungen des Porphyrin- und Bilirubinstoffwechsel;1;-;5;1;4;3;2;1;2;2
ICD10-E83;    Störungen des Mineralstoffwechsels;105;121;94;117;116;115;123;130;143;145
ICD10-E84;    Zystische Fibrose;40;49;46;47;46;55;57;45;40;51
ICD10-E85;    Amyloidose;73;42;71;58;80;85;82;81;106;77
ICD10-E86;    Volumenmangel;3630;4036;3869;4095;4528;4601;5309;5217;5391;6200
ICD10-E87;    Sonst. Störungen d.Wasser- u. Elektrolythaushalte;522;650;648;792;854;952;1051;1021;1171;1232
ICD10-E88;    Sonstige Stoffwechselstörungen;18;16;20;25;20;22;24;25;25;27
ICD10-E89;    Endokrine u.Stoffwechselstör. nach med.Maßnahmen;9;8;6;5;9;6;1;1;4;2
ICD10-E90;    Ernährungs- u. Stoffwechselstör. bei ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-F00-F99;Psychische und Verhaltensstörungen;2595;2571;2522;2558;2685;2618;2811;2744;2889;3161
ICD10-F00-F09;  Organische, einschl. symptomat. psych. Störungen;1561;1616;1534;1693;1727;1749;1906;1821;1964;2137
ICD10-F00;    Demenz bei Alzheimer-Krankheit;-;-;-;-;-;-;-;-;-;-
ICD10-F01;    Vaskuläre Demenz;302;289;232;234;209;223;209;156;178;194
ICD10-F02;    Demenz bei anderenorts klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-F03;    Nicht näher bezeichnete Demenz;203;179;168;147;165;131;153;146;139;200
ICD10-F04;    Organisches amnestisch.Synd.,n.d. Alkoh.o.a.Subst.;5;2;4;8;1;-;-;-;2;2
ICD10-F05;    Delir, nicht d.Alkohol o.a. psychotrope Substanzen;712;781;817;969;1022;1087;1223;1225;1335;1453
ICD10-F06;    And. psychische Störungen aufgr. einer Schädigung;240;256;217;244;239;234;234;209;215;203
ICD10-F07;    Persönl.- u.Verhaltensstörung aufgr.Gehirnschäd.;87;102;92;88;89;69;82;83;94;83
ICD10-F09;    N.n.bez. organische o.symptomat.psychische Störung;12;7;4;3;2;5;5;2;1;2
ICD10-F10-F19;  Psych. u. Verhaltensstörungen d.psychotrope Subst.;386;372;335;285;325;272;292;309;274;324
ICD10-F10;    Psychische und Verhaltensstörungen durch Alkohol;301;295;250;212;248;206;232;222;192;229
ICD10-F11;    Psychische und Verhaltensstörungen durch Opioide;33;22;23;21;21;27;17;27;22;31
ICD10-F12;    Psychische und Verhaltensstörungen durch Cannabino;-;-;1;-;2;-;-;1;1;2
ICD10-F13;    Psych. u. Verhaltensstör. d.Sedativa o.Hypnotika;24;22;28;16;17;20;12;16;14;12
ICD10-F14;    Psychische und Verhaltensstörungen durch Kokain;2;-;3;-;1;-;1;3;2;3
ICD10-F15;    Psych. u. Verhaltensstörungen d. and. Stimulanzen;-;-;2;2;-;1;2;3;5;5
ICD10-F16;    Psychische u. Verhaltensstörungen d. Halluzinogene;1;1;-;-;-;-;2;-;-;1
ICD10-F17;    Psychische und Verhaltensstörungen durch Tabak;1;3;2;-;1;1;-;-;-;-
ICD10-F18;    Psych. u. Verhaltensstör.d.flüchtige Lösungsmittel;-;1;-;1;-;-;-;-;-;-
ICD10-F19;    Psych. u.Verhaltensstör.d. multiplen Substanzgebr.;24;28;26;33;35;17;26;37;38;41
ICD10-F20-F29;  Schizophrenie, schizotype und wahnhafte Störungen;169;162;161;193;193;184;171;192;193;198
ICD10-F20;    Schizophrenie;113;114;112;112;115;108;113;116;125;130
ICD10-F21;    Schizotype Störung;-;1;-;-;-;2;1;-;-;-
ICD10-F22;    Anhaltende wahnhafte Störungen;14;7;12;20;17;11;6;16;9;18
ICD10-F23;    Akute vorübergehende psychotische Störungen;6;15;8;5;10;9;7;14;11;4
ICD10-F24;    Induzierte wahnhafte Störung;-;-;-;-;-;-;1;-;-;-
ICD10-F25;    Schizoaffektive Störungen;35;24;27;53;49;52;40;44;47;46
ICD10-F28;    Sonstige nichtorganische psychotische Störungen;-;-;2;2;2;-;1;1;-;-
ICD10-F29;    Nicht näher bezeichnete nichtorganische Psychose;1;1;-;1;-;2;2;1;1;-
ICD10-F30-F39;  Affektive Störungen;346;315;357;296;331;314;346;323;338;371
ICD10-F30;    Manische Episode;2;-;4;1;-;3;1;1;1;-
ICD10-F31;    Bipolare affektive Störung;39;29;38;23;44;34;34;21;30;43
ICD10-F32;    Depressive Episode;178;166;182;165;162;158;172;161;174;165
ICD10-F33;    Rezidivierende depressive Störung;127;119;133;106;125;119;139;139;133;163
ICD10-F34;    Anhaltende affektive Störungen;-;1;-;1;-;-;-;1;-;-
ICD10-F38;    Andere affektive Störungen;-;-;-;-;-;-;-;-;-;-
ICD10-F39;    Nicht näher bezeichnete affektive Störung;-;-;-;-;-;-;-;-;-;-
ICD10-F40-F48;  Neurotische, Belastungs- und somatoforme Störungen;52;47;71;44;65;56;45;48;73;71
ICD10-F40;    Phobische Störungen;2;1;-;1;-;1;-;1;2;2
ICD10-F41;    Andere Angststörungen;9;10;16;18;17;12;11;16;24;17
ICD10-F42;    Zwangsstörung;-;1;1;-;1;-;-;-;1;2
ICD10-F43;    Reaktionen auf schwere Belast. u. Anpassungssstör.;25;20;45;13;32;27;24;22;24;31
ICD10-F44;    Dissoziative Störungen (Konversionsstörungen);4;3;3;1;4;3;5;-;4;3
ICD10-F45;    Somatoforme Störungen;12;11;6;10;10;12;5;9;17;15
ICD10-F48;    Andere neurotische Störungen;-;1;-;1;1;1;-;-;1;1
ICD10-F50-F59;  Verhaltensauffälligk. m. körperl. Stör. u.Faktoren;57;37;42;27;27;32;30;29;22;27
ICD10-F50;    Essstörungen;56;36;41;26;26;31;28;27;20;27
ICD10-F51;    Nichtorganische Schlafstörungen;-;-;1;1;-;-;1;1;1;-
ICD10-F52;    Sexuelle Funktionsstörung, nichtorganisch;-;-;-;-;-;-;-;-;-;-
ICD10-F53;    Psych.o.Verhaltensstörungen im Wochenbett,ao.n.kl.;-;-;-;-;-;-;-;-;-;-
ICD10-F54;    Psych.Faktoren o.Verhaltensfaktoren b.ao.klass.Kh.;-;-;-;-;-;-;-;-;1;-
ICD10-F55;    Schädl. Gebrauch nichtabhängigkeitserz. Substanzen;1;-;-;-;1;1;-;1;-;-
ICD10-F59;    N.n.bez.Verhaltensauffälligk.b.körp.Stör.,Faktoren;-;1;-;-;-;-;1;-;-;-
ICD10-F60-F69;  Persönlichkeits- und Verhaltensstörungen;13;14;13;6;10;6;11;16;15;17
ICD10-F60;    Spezifische Persönlichkeitsstörungen;8;10;6;3;5;6;8;10;8;12
ICD10-F61;    Kombinierte und andere Persönlichkeitsstörungen;2;2;2;1;-;-;1;5;3;3
ICD10-F62;    Andauernde Persönlichkeitsänderungen;1;1;4;1;4;-;1;-;3;1
ICD10-F63;    Abnorme Gewohnheiten u. Störungen der Impulskontr.;1;-;-;-;1;-;-;-;-;1
ICD10-F64;    Störungen der Geschlechtsidentität;-;-;-;-;-;-;-;-;1;-
ICD10-F65;    Störungen der Sexualpräferenz;-;1;-;-;-;-;-;-;-;-
ICD10-F66;    Psych.u.Verhaltensstör.i.Verb.m.sexuell.Entwickl.;-;-;-;-;-;-;-;-;-;-
ICD10-F68;    Andere Persönlichkeits- und Verhaltensstörungen;-;-;-;-;-;-;-;-;-;-
ICD10-F69;    N.n.bez. Persönlichkeits- und Verhaltensstörungen;1;-;1;1;-;-;1;1;-;-
ICD10-F70-F79;  Intelligenzstörung;9;5;7;11;5;4;7;4;5;14
ICD10-F70;    Leichte Intelligenzminderung;-;1;1;2;1;-;1;1;2;3
ICD10-F71;    Mittelgradige Intelligenzminderung;3;2;2;1;2;2;3;1;2;5
ICD10-F72;    Schwere Intelligenzminderung;3;2;3;7;1;2;2;2;1;5
ICD10-F73;    Schwerste Intelligenzminderung;2;-;1;1;1;-;1;-;-;1
ICD10-F74;    Dissoziierte Intelligenz;-;-;-;-;-;-;-;-;-;-
ICD10-F78;    Andere Intelligenzminderung;-;-;-;-;-;-;-;-;-;-
ICD10-F79;    Nicht näher bezeichnete Intelligenzminderung;1;-;-;-;-;-;-;-;-;-
ICD10-F80-F89;  Entwicklungsstörungen;1;1;1;-;1;-;1;-;2;-
ICD10-F80;    Umschriebene Entwicklungsstör.d.Sprechens/Sprache;-;1;1;-;-;-;-;-;-;-
ICD10-F81;    Umschrieb. Entwicklungsstör.schulisch.Fertigkeiten;-;-;-;-;-;-;-;-;-;-
ICD10-F82;    Umschrieb. Entwicklungsstör.d.motorischen Funktion;-;-;-;-;-;-;-;-;-;-
ICD10-F83;    Kombinierte umschriebene Entwicklungsstörungen;-;-;-;-;-;-;-;-;-;-
ICD10-F84;    Tiefgreifende Entwicklungsstörungen;1;-;-;-;1;-;-;-;2;-
ICD10-F88;    Andere Entwicklungsstörungen;-;-;-;-;-;-;-;-;-;-
